session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected,X1,encryption_flag,X2,Cyber_Risk_Score,Risk_Level
SID_00001,599.0,TCP,4,492.9832634426563,DES,0.606818080396889,1,Edge,0,1,6,1,1.606818080396889,97.04272723215877,LOW RISK
SID_00002,472.0,TCP,3,1557.9964611204384,DES,0.3015689675960893,0,Firefox,0,0,3,1,1.3015689675960893,98.72062758703844,LOW RISK
SID_00003,629.0,TCP,3,75.04426166420741,DES,0.7391643279163831,2,Chrome,0,1,6,1,1.739164327916383,97.09566573116656,LOW RISK
SID_00004,804.0,UDP,4,601.2488351708328,DES,0.1232671757524846,0,Unknown,0,1,5,1,1.1232671757524846,97.44930687030099,LOW RISK
SID_00005,453.0,TCP,5,532.5408884201419,AES,0.0548738567431703,1,Firefox,0,0,6,1,1.0548738567431704,96.82194954269727,MEDIUM RISK
SID_00006,453.0,UDP,5,380.4715502453134,AES,0.4224858607066699,2,Chrome,1,0,8,1,1.42248586070667,95.76899434428267,MEDIUM RISK
SID_00007,815.0,ICMP,4,728.1071646972356,AES,0.4137719285892984,1,Chrome,0,1,6,1,1.4137719285892985,96.96550877143572,MEDIUM RISK
SID_00008,653.0,TCP,3,12.5999060098958,DES,0.0977193658576949,3,Chrome,1,1,8,1,1.097719365857695,95.63908774634308,MEDIUM RISK
SID_00009,406.0,TCP,2,542.5588952208974,None,0.2945796876500889,0,Chrome,1,0,3,0,0.2945796876500889,98.31783187506004,LOW RISK
SID_00010,608.0,UDP,6,531.9441066211396,None,0.4241165641663546,1,Chrome,0,0,7,0,0.4241165641663546,95.96964662566654,MEDIUM RISK
SID_00011,407.0,UDP,6,580.7219253670751,DES,0.1228937389064628,3,Firefox,0,1,10,1,1.1228937389064628,94.44915749556259,MEDIUM RISK
SID_00012,406.0,UDP,9,191.0528369326706,DES,0.3397112713433893,1,Edge,0,1,11,1,1.3397112713433894,93.93588450853736,HIGH RISK
SID_00013,548.0,TCP,2,186.1476383415076,None,0.4068986326067099,2,Safari,1,0,5,0,0.4068986326067099,97.16275945304268,LOW RISK
